"","name","player_id","team_2021","Position","Age","Game_played","Game_started","MP","FG","FGA","FGpct","X3P","X3PA","X3Ppct","X2P","X2PA","X2Ppct","FT","FTA","FTpct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TSpct","X3PAr","FTr","ORBpct","DRBpct","TRBpct","ASTpct","STLpct","BLKpct","TOVpct","USGpct","OWS","DWS","WS","WSper48","OBPM","DBPM","BPM","VORP","salary","team_2022","Weight","Height"
"181","Joe Ingles","inglejo01","UTA","SF",34,45,15,24.9,2.6,6.3,0.404,1.7,5,0.347,0.8,1.3,0.617,0.4,0.5,0.773,0.3,2.6,2.9,3.5,0.5,0.1,1,1.8,7.2,10,0.551,0.789,0.077,1.2,11.2,6.4,19,1,0.4,13.5,13.2,1.3,0.9,2.2,0.094,-0.7,0.5,-0.3,0.5,6479000,"MIL",220,80
"182","Joel Embiid","embiijo01","PHI","C",27,68,68,33.8,9.8,19.6,0.499,1.4,3.7,0.371,8.4,15.9,0.529,9.6,11.8,0.814,2.1,9.6,11.7,4.2,1.1,1.5,3.1,2.7,30.6,31.2,0.616,0.188,0.602,7.2,31.1,19.4,23.5,1.7,3.9,11.3,37.2,7.9,4.1,12,0.252,7.2,2,9.2,6.5,33616770,"PHI",280,84
"183","John Collins","collijo01","ATL","PF",24,54,53,30.8,6.3,11.9,0.526,1.2,3.3,0.364,5.1,8.7,0.588,2.5,3.1,0.793,1.7,6.1,7.8,1.8,0.6,1,1.1,3,16.2,18.7,0.61,0.273,0.262,6.2,21.5,13.9,8.9,1,3,7.7,20.5,3.6,1.4,5.1,0.146,1.5,0,1.5,1.5,23500000,"ATL",226,81
"184","John Konchar","konchjo01","MEM","SG",25,72,7,17.9,1.9,3.6,0.515,0.7,1.8,0.413,1.2,1.9,0.61,0.4,0.7,0.551,1.2,3.4,4.6,1.5,0.6,0.3,0.4,1.3,4.8,14,0.615,0.481,0.187,6.9,20.1,13.3,10.6,1.7,1.5,9.3,9.9,2.4,1.8,4.2,0.155,0.2,1.3,1.5,1.2,2300000,"MEM",210,77
"185","Jonas Valančiūnas","valanjo01","NOP","C",29,74,74,30.3,6.9,12.7,0.544,0.8,2.1,0.361,6.1,10.5,0.581,3.2,3.9,0.82,3.1,8.3,11.4,2.6,0.6,0.8,2.4,3.3,17.8,21.2,0.617,0.168,0.308,10.9,31.2,20.8,14,0.9,2.6,14.4,23.8,4.6,2.7,7.3,0.156,2,-0.1,1.9,2.2,14700000,"NOP",265,83
"186","Jonathan Kuminga","kuminjo01","GSW","SF",19,70,12,16.9,3.4,6.6,0.513,0.7,2.1,0.336,2.7,4.4,0.598,1.9,2.7,0.684,0.8,2.6,3.3,0.9,0.4,0.3,1.1,2.1,9.3,15.2,0.6,0.324,0.413,5.1,16.1,10.8,8.4,1.3,1.8,12,22.7,1.3,1.8,3,0.123,-1.3,-0.2,-1.5,0.1,5739960,"GSW",225,79
"187","Jordan Clarkson","clarkjo01","UTA","SG",29,79,1,27.1,5.9,14.1,0.419,2.4,7.6,0.318,3.5,6.5,0.535,1.8,2.2,0.828,0.8,2.6,3.5,2.5,0.8,0.2,1.6,1.9,16,14.9,0.532,0.536,0.156,3.5,10.2,7,14.5,1.5,0.7,9.8,26.8,1.5,2,3.5,0.079,0.5,-1.2,-0.6,0.7,13340000,"UTA",194,76
"188","Jordan McLaughlin","mclaujo01","MIN","PG",25,62,3,14.5,1.4,3.2,0.44,0.4,1.4,0.318,1,1.9,0.53,0.5,0.6,0.75,0.4,1.2,1.5,2.9,0.9,0.2,0.6,0.9,3.8,13.4,0.535,0.425,0.2,2.6,8.8,5.6,26.1,3,1.1,14.9,11.8,1.3,1,2.3,0.123,-1.2,1.6,0.4,0.6,2160000,"MIN",185,71
"189","Jordan Poole","poolejo01","GSW","SG",22,76,51,30,6.2,13.9,0.448,2.8,7.6,0.364,3.5,6.3,0.55,3.2,3.5,0.925,0.4,3,3.4,4,0.8,0.3,2.5,2.7,18.5,16.1,0.598,0.548,0.251,1.7,10.5,6.2,21,1.3,1,13.7,26,3.1,2.9,6,0.126,1.3,-0.3,1,1.7,3901399,"GSW",194,76
"190","Jose Alvarado","alvarjo01","NOP","PG",23,54,1,15.4,2.4,5.4,0.446,0.6,2,0.291,1.8,3.4,0.538,0.7,1,0.679,0.5,1.4,1.9,2.8,1.3,0.1,0.7,1.4,6.1,16.4,0.52,0.374,0.18,3.2,10.2,6.6,26.9,4.2,0.8,11.2,18.4,1,1.1,2.1,0.121,-0.5,2.4,1.9,0.8,1563518,"NOP",179,72
